state,x,y
Alabama,139,-86
Alaska,-204,-170
Arizona,-204,-40
Arkansas,82,-69
California,-296,13
Colorado,-112,20
Connecticut,297,104
Delaware,275,68
Florida,212,-144
Georgia,182,-90
Hawaii,-317,-144
Idaho,-224,90
Illinois,104,30
Indiana,139,32
Iowa,56,53
Kansas,14,4
Kentucky,151,-12
Louisiana,85,-122
Maine,306,165
Maryland,257,78
Massachusetts,296,122
Michigan,150,98
Minnesota,46,115
Mississippi,108,-94
Missouri,73,8
Montana,-139,130
Nebraska,-56,56
Nevada,-265,48
New Hampshire,289,140
New Jersey,278,90
New Mexico,-121,-54
New York,245,110
North Carolina,234,24
North Dakota,-42,138
Ohio,182,56
Oklahoma,20,-48
Oregon,-280,110
Pennsylvania,228,80
Rhode Island,306,110
South Carolina,214,-60
South Dakota,-38,92
Tennessee,142,-38
Texas,-22,-120
Utah,-188,32
Vermont,274,148
Virginia,228,42
Washington,-260,150
West Virginia,198,30
Wisconsin,94,90
Wyoming,-134,78
